"Please make sure that you enabled customer gender and customer date of birth in customer attributes configuration. Otherwise this payment method won't be available. Please be informed that when you use Afterpay or Klarna as acquirer on Ingenico ePayments (Ogone) side, it's not possible to perform partial captures.", "Please make sure that you enabled customer gender and customer date of birth in customer attributes configuration. Otherwise this payment method won't be available. Please be informed that when you use Afterpay or Klarna as acquirer on Ingenico ePayments (Ogone) side, it's not possible to perform partial captures."
"Please make sure that your street and house number are correct!","Please make sure that your street and house number are correct!"
"Please note that a proper category mapping is necessary in order to use this payment method", "Please note that a proper category mapping is necessary in order to use this payment method"
"Please select a brand", "Please select a brand"
"Please transfer to:", "Please transfer to:"
"Please use this method for the following brands only:", "Please use this method for the following brands only:"
"Please use void to cancel the operation.","Please use void to cancel the operation."
"Please wait a moment. This page will transfer your data to Ingenico ePayments (Ogone) payment gateway in a few seconds.","Please wait a moment. This page will transfer your data to Ingenico ePayments (Ogone) payment gateway in a few seconds."
"PM and Brand combination must be unique","PM and Brand combination must be unique"
"Process outgoing transaction","Process outgoing transaction"
"Processed by Ingenico ePayments (Ogone)","Processed by Ingenico ePayments (Ogone)"
"Processed by Ingenico ePayments (Ogone). Payment ID: %s. Ingenico ePayments (Ogone) status: %s.","Processed by Ingenico ePayments (Ogone). Payment ID: %s. Ingenico ePayments (Ogone) status: %s."
"prod", "Production"
"PSPID is a case sensitive field","PSPID is a case sensitive field"
"quote id", "Quote ID"
"Received Ingenico ePayments (Ogone) feedback status %s.", "Received Ingenico ePayments (Ogone) feedback status %s."
"Received Ingenico ePayments (Ogone) feedback status update with final status %s.", "Received Ingenico ePayments (Ogone) feedback status update with final status %s."
"Received Ingenico ePayments (Ogone) feedback status update with intermediate status %s.", "Received Ingenico ePayments (Ogone) feedback status update with intermediate status %s."
"Received Ingenico ePayments (Ogone) feedback status update with refused status %s.", "Received Ingenico ePayments (Ogone) feedback status update with refused status %s."
"Received Ingenico ePayments (Ogone) feedback status update with suspected fraud status %s. Please have a look in Ingenico ePayments (Ogone) backend for more information.", "Received Ingenico ePayments (Ogone) feedback status update with suspected fraud status %s. Please have a look in Ingenico ePayments (Ogone) backend for more information."
"Received Ingenico ePayments (Ogone) status %s. Order cancelled.", "Received Ingenico ePayments (Ogone) status %s. Order cancelled."
"Refresh payment status", "Refresh payment status"
"Refund is waiting or uncertain. Ingenico ePayments (Ogone) status: %s.","Refund is waiting or uncertain. Ingenico ePayments (Ogone) status: %s."
"Refund refused by Ingenico ePayments (Ogone).", "Refund refused by Ingenico ePayments (Ogone)."
